Comment,Designator,Footprint,LCSC,Quantity
10k,"R1,R2,R3,R4,R5,R6,R7,R8",R_0603_1608Metric,C25744,8
ESP-12F,U2,ESP-12E,,1
100nF,C4,C_0603_1608Metric,,1
USB_A,J1,USB_A_CNCTech_1001-011-01101_Horizontal,,1
AO3400A,Q3,SOT-23,,1
AO3400A,Q4,SOT-23,,1
470pF,C2,C_0603_1608Metric,,1
100nF,C6,C_0603_1608Metric,,1
10u,C8,C_0603_1608Metric,,1
100nF,C5,C_0603_1608Metric,,1
10u,C12,C_0603_1608Metric,,1
10u,C9,C_0603_1608Metric,,1
MCP1826S,U3,SOT-223-3_TabPin2,,1
10u,C13,C_0603_1608Metric,,1
10u,C10,C_0603_1608Metric,,1
10u,C11,C_0603_1608Metric,,1
